Code,Botanical,Common,Quantity,Size,Remarks
"CIT LIM","Citrus x 'Improved Meyer'","Improved Meyer Lemon","2","",""
"FES GLA","Festuca glauca","Blue Fescue, Blue Fescue Grass","45","",""
"N/A","N/A","","46","",""
"ROS OFF","Rosmarinus officinalis 'Tuscan Blue'","Tuscan Blue Upright Rosemary","48","",""
"COL PUL","Coleonema pulchellum 'Sunset Gold'","Golden Breath Of Heaven","5","",""
"ESC CAL","Eschscholzia californica","California Poppy","1","",""
"AGA BLU","Agave 'Blue Flame'","Blue Flame Agave","3","",""
"SAL GRE","Salvia greggii","Autumn Sage","3","",""
"HES PAR","Hesperaloe parviflora","Red Yucca","5","",""
"SAL CHA","Salvia chamaedryoides","Germander Sage","3","",""
"PRU CAR","Prunus caroliniana","Carolina Laurel Cherry","47","",""
"ACE GLO","Acer palmatum 'Fireglow'","Fireglow Japanese Maple","2","",""
"MAG GRA","Magnolia grandiflora","Southern Magnolia","1","",""
"GIN BIL","Ginkgo biloba 'Autumn Gold'","Autumn Gold Ginkgo Tree","1","",""
"ACA COU","Acacia cognata 'Cousin Itt'","Little River Wattle","2","",""
"CIT KUM","Fortunella margarita 'Nagami'","Nagami Kumquat","1","",""
"POD MAC","Podocarpus macrophyllus","Yew Pine","29","",""
"OLE EUR","Olea europaea 'Wilsoni'","Wilson Fruitless Olive","1","",""
"NAN DOM","Nandina domestica","Nandina, Heavenly Bamboo","11","",""
"AGA ATT","Agave attenuata","Fox Tail Agave","2","",""
"ASP DEN","Asparagus densiflorus 'Myers'","Myers Asparagus","7","",""
"STA BYZ","Stachys byzantina","Lamb's Ear","38","",""
"SEN MAN","Senecio mandraliscae","Kleinia","12","",""
"LOM LON","Lomandra longifolia","Lomandra","1","",""
"ALO TAN","Aloe ferox â€˜Tangerine'","Tangerine Aloe","3","",""